# A2 种子 3：形容词 / 副词 / 连接词 / 比较级 / 观点表达
antipático|不友善的|adj|性格|El vecino es antipático.|这个邻居很不友善。
educado|有礼貌的|adj|性格|Es un niño muy educado.|他是个很有礼貌的孩子。
generoso|大方的|adj|性格|Siempre es generoso con todos.|他对谁都很大方。
egoísta|自私的|adj|性格|No seas egoísta, comparte.|别自私，分享一下。
sincero|真诚的|adj|性格|Es sincero en lo que dice.|他说的是真心话。
tímido|害羞的|adj|性格|Es tímido con la gente nueva.|他见到生人害羞。
sociable|外向合群的|adj|性格|Mi prima es muy sociable.|我表妹很外向。
perezoso|懒惰的|adj|性格|El gato es perezoso.|这只猫很懒。
trabajador|勤奋的|adj|性格|Es un equipo muy trabajador.|这是个很勤奋的团队。
responsable|负责的|adj|性格|Busco una persona responsable.|我找一个有责任心的人。
organizado|有条理的|adj|性格|Mi escritorio es muy organizado.|我的书桌井井有条。
puntual|守时的|adj|性格|El tren es siempre puntual.|火车总是很准时。
paciente|有耐心的|adj|性格|La profesora es paciente con los niños.|老师对孩子们很有耐心。
nervioso|紧张的|adj|情绪|Estoy nervioso por el examen.|我因为考试而紧张。
estresado|压力大的|adj|情绪|Trabajo demasiado y estoy estresado.|我工作太多，压力很大。
preocupado|担心的|adj|情绪|Está preocupado por su padre.|他担心他的父亲。
enfadado|生气的|adj|情绪|Está enfadado con el jefe.|他在生老板的气。
alegre|快乐的|adj|情绪|Es una persona muy alegre.|她是个很开朗的人。
optimista|乐观的|adj|性格|Soy optimista sobre el futuro.|我对未来很乐观。
pesimista|悲观的|adj|性格|No seas pesimista, todo sale bien.|别悲观，一切都会好的。
honesto|诚实的|adj|道德|Es un político honesto.|他是个诚实的政治家。
justo|公平的； justo 时刻|adj|道德|El reparto no es justo.|分配不公平。
débil|弱的|adj|描述|El café está débil, pon más.|咖啡太淡了，多放点。
duro|硬的；艰难的|adj|描述|El pan está duro.|面包硬了。
blando|软的|adj|描述|Prefiero el colchón blando.|我更喜欢软床垫。
cómodo|舒服的|adj|描述|Estos zapatos son cómodos.|这双鞋很舒服。
útil|有用的|adj|评价|Esta app es muy útil.|这个应用很有用。
necesario|必要的|adj|评价|No es necesario reservar.|不需要预订。
suficiente|足够的|adj|数量|Tenemos comida suficiente.|我们的食物够了。
común|常见的；共同的|adj|描述|Es un error muy común.|这是个很常见的错误。
raro|奇怪的；罕见的|adj|描述|Qué raro, no contesta.|真奇怪，他不接电话。
extraño|奇怪的；陌生的|adj|描述|Siento un ruido extraño.|我听到一个奇怪的声音。
propio|自己的|adj|所属|Tengo mi propio piso.|我有自己的公寓。
dulce|甜的|adj|味道|Este postre es demasiado dulce.|这个甜点太甜了。
amargo|苦的|adj|味道|El café sin azúcar es amargo.|不加糖的咖啡是苦的。
picante|辣的|adj|味道|La comida mexicana es picante.|墨西哥菜很辣。
fresco|新鲜的；凉爽的|adj|描述|El pescado está muy fresco.|这鱼很新鲜。
pesado|重的；烦人的|adj|描述|La maleta es pesada.|行李箱很沉。
grueso|厚的；粗的|adj|描述|Necesito una chaqueta gruesa.|我需要一件厚外套。
fino|细的；精致的|adj|描述|El hilo es muy fino.|这根线很细。
ancho|宽的|adj|描述|La cama es muy ancha.|这张床很宽。
estrecho|窄的|adj|描述|El pantalón me queda estrecho.|这条裤子我穿太紧了。
húmedo|潮湿的|adj|天气|El clima de aquí es húmedo.|这里的气候潮湿。
seco|干的|adj|天气|El verano es muy seco.|夏天非常干燥。
soleado|晴朗的|adj|天气|Hoy el día está soleado.|今天阳光灿烂。
nublado|多云的|adj|天气|Mañana estará nublado.|明天多云。
profundo|深的|adj|描述|El río es profundo aquí.|这条河在这里很深。
despacio|慢慢地|adv|方式|Habla despacio, por favor.|请说慢一点。
enseguida|立刻|adv|时间|Voy enseguida.|我马上去。
apenas|几乎不；刚刚|adv|程度|Apenas duermo estas noches.|这些天我几乎不睡觉。
realmente|确实；真正地|adv|程度|Realmente me ayudas mucho.|你真的帮了我大忙。
