# A1 5D 种子：D4 词块（es=>zh，; 分隔），可选 g:/s2:/m: 覆盖
a1-001|hay que=>必须;hay un problema=>有个问题
a1-002|el libro que leo=>我读的那本书;lo que quiero=>我想要的东西|g:关系代词，连接从句修饰名词；lo que = ……的东西
a1-003|¿qué tal?=>怎么样？;¿qué pasa?=>怎么了？
a1-004|¿quién es?=>是谁？;¿de quién es?=>这是谁的？
a1-005|¿cuándo viene?=>他什么时候来？;¿hasta cuándo?=>到什么时候？
a1-006|¿dónde está?=>在哪儿？;¿de dónde eres?=>你是哪里人？
a1-007|¿cómo estás?=>你好吗？;¿cómo se dice?=>……用西语怎么说？
a1-008|¿cuánto cuesta?=>多少钱？;¿cuántos años tienes?=>你多大了？
a1-009|¿cuál prefieres?=>你更喜欢哪个？;¿cuál es tu número?=>你的号码是多少？
a1-010|yo también=>我也是;yo creo=>我认为
a1-011|¿y tú?=>你呢？;tú y yo=>你和我
a1-012|él dice=>他说;el coche de él=>他的车
a1-013|ella es mi hermana=>她是我姐姐;para ella=>给她的
a1-014|¿usted es el señor López?=>您是洛佩斯先生吗？;pase usted=>您请进
a1-015|nosotros vamos=>我们去;entre nosotros=>咱们之间
a1-016|ellos son mis amigos=>他们是我的朋友;con ellos=>和他们一起
a1-017|mi casa=>我家;mi hermano=>我兄弟
a1-018|tu nombre=>你的名字;tu turno=>该你了
a1-019|su casa=>他家;su coche=>他的车
a1-020|este libro=>这本书;este año=>今年
a1-021|ese chico=>那个男孩;en ese momento=>在那个时候
a1-022|algo así=>差不多那样;algo más=>再来点别的
a1-023|no hay nada=>什么都没有;nada más=>就这些
a1-024|alguien viene=>有人来了;¿hay alguien?=>有人吗？
a1-025|no hay nadie=>一个人也没有;nadie lo sabe=>没人知道
a1-026|todo el día=>一整天;de todo=>各种各样的东西
a1-027|otro día=>改天;otra vez=>再来一次
a1-028|el mismo día=>同一天;a la misma hora=>同一时间
a1-029|así que=>所以;así es=>就是这样
a1-030|ya no=>不再;ya está=>好了
a1-031|todavía no=>还没有;todavía es temprano=>还早
a1-032|hasta luego=>回头见;hasta más luego=>一会儿见
a1-033|muy pronto=>很快;hasta pronto=>回见
a1-034|muy temprano=>很早;levantarse temprano=>早起
a1-035|más tarde=>晚些时候;llegar tarde=>迟到
a1-036|hoy no=>今天不行;hasta hoy=>直到今天
a1-037|ayer por la noche=>昨天晚上;de ayer=>昨天的
a1-038|a veces sí=>有时会;salir a veces=>偶尔出去
a1-039|casi siempre=>几乎总是;casi nada=>几乎没有
a1-040|cuando tengo tiempo=>我有空的时候;cuando llueve=>下雨的时候
a1-041|la casa donde vivo=>我住的房子;ir donde Juan=>去胡安那儿|g:关系副词，指地点，相当于 en que / en el que
a1-042|tomar un café=>喝杯咖啡;tomar el sol=>晒太阳;tomar el autobús=>坐公交|m:喝；乘坐
a1-043|abrir la puerta=>开门;abrir la ventana=>开窗
a1-044|cerrar la puerta=>关门;cerrar con llave=>锁上
a1-045|empezar a hacer algo=>开始做某事;empezar de nuevo=>重新开始
a1-046|terminar de hacer algo=>做完某事;terminar el trabajo=>完成工作
a1-047|ayudar a alguien=>帮助某人;ayudar con la casa=>帮忙做家务
a1-048|buscar trabajo=>找工作;buscar las llaves=>找钥匙
a1-049|llevar una camisa=>穿着衬衫;llevar un paraguas=>带着伞
a1-050|usar el móvil=>用手机;usar la computadora=>用电脑
a1-051|cocinar bien=>做饭好吃;cocinar para la familia=>给家人做饭
a1-052|esperar a alguien=>等某人;esperar el autobús=>等公交
a1-053|llegar a casa=>到家;llegar tarde=>迟到
a1-054|salir de casa=>出门;salir con amigos=>和朋友出去玩
a1-055|entrar en la clase=>进教室;entrar sin llamar=>没敲门就进
a1-056|subir al autobús=>上公交;subir la escalera=>上楼
a1-057|bajar del autobús=>下公交;bajar la escalera=>下楼
a1-058|¿qué pasa?=>怎么了？;pasar el fin de semana=>过周末
a1-059|dejar un mensaje=>留个口信;dejar de fumar=>戒烟
a1-060|perder el autobús=>错过公交;perder las llaves=>丢了钥匙
a1-061|encontrar trabajo=>找到工作;no lo encuentro=>我找不到它
a1-062|mostrar el billete=>出示车票;mostrar una foto=>给人看照片
a1-063|cambiar de opinión=>改变主意;cambiar dinero=>换钱
a1-064|guardar en el armario=>收进衣柜;guardar las cosas=>收拾东西
a1-065|lavar los platos=>洗碗;lavarse las manos=>洗手
a1-066|limpiar la casa=>打扫房间;limpiar la mesa=>擦桌子
a1-067|jugar al fútbol=>踢足球;jugar con los niños=>和小孩玩
a1-068|correr rápido=>跑得快;correr en el parque=>在公园跑步
a1-069|caminar por la playa=>在海滩散步;caminar despacio=>慢慢走
a1-070|nadar en el mar=>在海里游泳;saber nadar=>会游泳
a1-071|cantar bien=>唱歌好听;cantar una canción=>唱一首歌
a1-072|bailar salsa=>跳萨尔萨;bailar bien=>舞跳得好
a1-073|desayunar rápido=>匆忙吃早饭;desayunar en casa=>在家吃早饭
a1-074|cenar fuera=>在外面吃晚饭;cenar a las nueve=>九点吃晚饭
a1-075|seguir con la lección=>继续上课;seguir a alguien=>跟着某人
a1-076|sentarse a la mesa=>入席;siéntate aquí=>坐这儿
a1-077|ponerse el abrigo=>穿上大衣;ponerse de pie=>站起来
a1-078|quitarse los zapatos=>脱鞋;quitarse el sombrero=>摘帽子
a1-079|probar la comida=>尝尝菜;probar suerte=>试试运气
a1-080|preparar la cena=>做晚饭;preparar un examen=>备考
a1-081|invitar a alguien=>邀请某人;invitar a un café=>请喝咖啡
a1-082|regalar flores=>送花;regalar un libro=>送一本书
a1-083|visitar un museo=>参观博物馆;visitar a la abuela=>去看奶奶
a1-084|celebrar un cumpleaños=>过生日;celebrar una fiesta=>办聚会
a1-085|deber estudiar=>应该学习;deber dinero=>欠钱
a1-086|preferir el té=>更爱喝茶;preferir quedarse=>宁愿留下
a1-087|pedir la cuenta=>要账单;pedir permiso=>请求许可|m:点（餐）；请求
a1-088|traer un regalo=>带来礼物;traer algo de comer=>带点吃的来
a1-089|explicar el problema=>解释问题;explicarlo otra vez=>再讲一遍
a1-090|aprender español=>学西语;aprender a cocinar=>学做饭
a1-091|enseñar español=>教西语;enseñar el camino=>指路|m:教；展示
a1-092|recordar el nombre=>记得名字;no recuerdo=>我不记得了
a1-093|olvidar las llaves=>忘了带钥匙;olvidar hacer algo=>忘了做某事
a1-094|decidir hacer algo=>决定做某事;decidir el día=>定日子
a1-095|sentir mucho=>非常遗憾;sentir un dolor=>感到疼
a1-096|creo que sí=>我觉得是;no creo que sea así=>我不认为是这样
a1-097|pensar en ti=>想着你;pensar que=>认为
a1-098|la una=>一点钟;número uno=>第一名
a1-099|uno de nosotros=>我们中的一个;a la una=>在一点
a1-100|a las dos=>在两点;los dos=>两个都
a1-101|tres veces=>三次;de tres=>三个一组
a1-102|cuatro personas=>四个人;las cuatro=>四点
a1-103|cinco minutos=>五分钟;cinco años=>五年
a1-104|seis de la mañana=>早上六点;seis personas=>六个人
a1-105|siete días=>七天;de siete a ocho=>从七点到八点
a1-106|a las ocho=>在八点;ocho horas=>八小时
a1-107|nueve meses=>九个月;el número nueve=>数字九
a1-108|diez euros=>十欧元;diez minutos=>十分钟
a1-109|once jugadores=>十一名球员;la una y once=>一点十一分
a1-110|las doce=>十二点;a las doce=>在十二点
a1-111|trece de octubre=>十月十三日;el número trece=>数字十三
a1-112|catorce de febrero=>二月十四日;catorce días=>两周
a1-113|quince días=>十五天;el día quince=>十五号
a1-114|veinte años=>二十岁;veinte minutos=>二十分钟
a1-115|treinta y dos=>三十二;treinta años=>三十年
a1-116|cuarenta grados=>四十度;cuarenta euros=>四十欧元
a1-117|cincuenta por ciento=>百分之五十;cincuenta personas=>五十人
a1-118|sesenta segundos=>六十秒;sesenta kilómetros=>六十公里
a1-119|setenta años=>七十岁;setenta euros=>七十欧元
a1-120|ochenta euros=>八十欧元;ochenta kilómetros=>八十公里
a1-121|noventa días=>九十天;noventa años=>九十岁
a1-122|cien por cien=>百分之百;cien euros=>一百欧元
a1-123|mil gracias=>万分感谢;dos mil=>两千
a1-124|el lunes que viene=>下周一;todos los lunes=>每周一
a1-125|el martes por la noche=>周二晚上;este martes=>这周二
a1-126|el próximo miércoles=>下周三;miércoles por la tarde=>周三下午
a1-127|el jueves por la tarde=>周四下午;este jueves=>这周四
a1-128|¡feliz viernes!=>周五快乐;viernes por la noche=>周五晚上
a1-129|el sábado por la mañana=>周六上午;sábado noche=>周六晚上
a1-130|el domingo en familia=>周日的家庭时光;domingo por la tarde=>周日下午
a1-131|el fin de semana pasado=>上周末;pasar el fin de semana=>过周末
a1-132|en enero=>在一月;a finales de enero=>一月底
a1-133|el catorce de febrero=>二月十四日;en febrero=>在二月
a1-134|a mediados de marzo=>三月中旬;en marzo=>在三月
a1-135|en abril=>在四月;las lluvias de abril=>四月的雨
a1-136|el uno de mayo=>五月一日;en mayo=>在五月
a1-137|las vacaciones de junio=>六月的假期;en junio=>在六月
a1-138|hace calor en julio=>七月很热;en julio=>在七月
a1-139|las vacaciones de agosto=>八月的假期;la playa en agosto=>八月的海滩
a1-140|en septiembre vuelve la escuela=>九月开学;a principios de septiembre=>九月初
a1-141|a principios de octubre=>十月初;en octubre=>在十月
a1-142|finales de noviembre=>十一月底;en noviembre=>在十一月
a1-143|las fiestas de diciembre=>十二月的节日;en diciembre=>在十二月
a1-144|mi madre y yo=>我和我妈;la madre de Ana=>安娜的妈妈
a1-145|mi padre trabaja=>我爸爸工作;el padre de familia=>一家之父
a1-146|mi hermano mayor=>我哥哥;hermano menor=>弟弟
a1-147|mi hermana pequeña=>我妹妹;hermanas gemelas=>双胞胎姐妹
a1-148|su hijo pequeño=>他的小儿子;hijo único=>独生子
a1-149|su hija mayor=>她的大女儿;hija querida=>宝贝女儿
a1-150|su esposo=>她的丈夫;esposo y esposa=>夫妻俩
a1-151|mi esposa=>我的妻子;la esposa de Juan=>胡安的妻子
a1-152|los abuelos=>祖父母;abuelo cariñoso=>慈祥的爷爷
a1-153|la abuela cocina=>奶奶做饭;abuela materna=>外婆
a1-154|mi tío favorito=>我最喜欢的叔叔;los tíos=>叔叔婶婶们
a1-155|la tía de Madrid=>马德里的姑姑;tía política=>婶婶
a1-156|mis primos pequeños=>我的堂弟们;primo hermano=>亲堂兄弟
a1-157|mi prima mayor=>我表姐;primas lejanas=>远房表姐妹
a1-158|un hombre alto=>高个子男人;el hombre de la casa=>家里的男人
a1-159|una mujer fuerte=>坚强的女性;mujer trabajadora=>职业女性
a1-160|un niño pequeño=>小男孩;niños y niñas=>男孩和女孩们
a1-161|una niña feliz=>快乐的女孩;niña buena=>乖女孩
a1-162|un chico simpático=>友善的小伙子;el chico de la tienda=>店里的男孩
a1-163|una chica guapa=>漂亮姑娘;las chicas=>姑娘们
a1-164|el bebé llora=>宝宝哭了;bebé recién nacido=>新生儿
a1-165|una persona amable=>友善的人;personas mayores=>老年人
