# B1 5D 种子（1/2）
b1-001|afectar a la salud=>影响健康;el clima afecta al cultivo=>气候影响作物
b1-002|aportar ideas=>贡献点子;aportar beneficios=>带来好处
b1-003|aprovechar el tiempo=>利用时间;aprovechar la ocasión=>抓住机会
b1-004|aproximarse a la meta=>接近目标;la fecha se aproxima=>日期临近
b1-005|argumentar su opinión=>论证观点;bien argumentado=>论证充分的
b1-006|comportarse bien=>表现好;comportarse mal=>举止失当
b1-007|concentrarse en el trabajo=>专注于工作;concéntrate=>集中注意力
b1-008|confundir las fechas=>搞混日期;me confundes=>你把我弄糊涂了
b1-009|cuidar a los abuelos=>照顾老人;cuidar de las plantas=>照料植物
b1-010|debatir sobre el tema=>就主题辩论;debate abierto=>公开辩论
b1-011|desaparecer de repente=>突然消失;el barco desapareció=>船消失了
b1-012|describir la escena=>描述场景;difícil de describir=>难以描述
b1-013|desechar los restos=>丢弃残余;productos desechables=>一次性产品
b1-014|difundir la noticia=>传播消息;difundir en redes=>在社交平台扩散
b1-015|dirigir una empresa=>经营公司;dirigirse a la salida=>朝出口走
b1-016|disfrutar de la vida=>享受生活;disfrutar de las vacaciones=>享受假期
b1-017|distinguir lo verdadero de lo falso=>辨别真伪
b1-018|echar una mano=>搭把手;echar la basura=>倒垃圾;echar de menos=>想念
b1-019|elaborar un plan=>制定计划;elaborar un informe=>起草报告
b1-020|enfrentarse al problema=>直面问题;enfrentarse con la realidad=>面对现实
b1-021|entrenar duro=>刻苦训练;entrenar al equipo=>训练队伍
b1-022|envolver el regalo=>包装礼物;envuelto en papel=>用纸包着
b1-023|escapar de la cárcel=>越狱;escapar del peligro=>脱离危险
b1-024|escasear los recursos=>资源匮乏;el agua escasea=>水资源短缺
b1-025|esconderse detrás de la puerta=>躲在门后
b1-026|establecer una empresa=>创立公司;establecer normas=>制定规范
b1-027|existir un problema=>存在问题;dejar de existir=>不复存在
b1-028|expandir el negocio=>扩张业务;expandirse al extranjero=>向海外扩张
b1-029|expresar su opinión=>表达看法;expresar con claridad=>清楚地表达
b1-030|fingir enfermedad=>装病;fingir una sonrisa=>强装笑容
b1-031|fortalecer los músculos=>强健肌肉;fortalecer la relación=>巩固关系
b1-032|fundar una empresa=>创办公司;fundado en 1990=>创立于 1990 年
b1-033|generar empleo=>创造就业;generar confianza=>产生信任
b1-034|implicar riesgos=>带有风险;eso implica tiempo=>那意味着要花时间
b1-035|insistir en su idea=>坚持己见;insistir mucho=>再三坚持
b1-036|llamar la atención del público=>吸引公众注意
b1-037|luchar por sus derechos=>为权利而斗争;luchar contra el cáncer=>与癌症抗争
b1-038|mencionar el incidente=>提到那起事件;como mencioné=>正如我提到的
b1-039|obligar a alguien a hacer=>强迫某人做
b1-040|ocupar el cargo=>担任职位;ocuparse de los niños=>负责照看孩子
b1-041|opinar sobre el tema=>就议题发言;opinar lo contrario=>持相反看法
b1-042|oponerse al plan=>反对该计划;oponerse a los cambios=>抵制变革
b1-043|participar en el proyecto=>参与项目;participar activamente=>积极参与
b1-044|padecer una enfermedad=>患病多年|g:正式用语，口语更常用 sufrir
b1-045|plantear una pregunta=>提出问题;plantear el problema=>把问题摆出来
b1-046|presentar a los invitados=>介绍来宾;presentarse a la entrevista=>参加面试
b1-047|producir coches=>生产汽车;producir un cambio=>引起变化
b1-048|proponer un plan=>提议一项计划;proponerse un objetivo=>给自己定目标
b1-049|proteger el medio ambiente=>保护环境;proteger a los niños=>保护儿童
b1-050|realizar un sueño=>实现梦想;realizar un estudio=>开展研究|g:realizar = 实现/进行；“意识到”是 darse cuenta
b1-051|reconocer su error=>承认错误;reconocer a alguien=>认出某人
b1-052|reducir el gasto=>削减开支;reducir a la mitad=>减半
b1-053|reflejar la realidad=>反映现实;reflejar en el espejo=>映在镜中
b1-054|respetar las normas=>遵守规则;respetar a los mayores=>尊重长辈
b1-055|resultar difícil=>结果很难;resulta que…=>原来……|m:结果是
b1-056|reunirse con clientes=>与客户会面;reunirse a las ocho=>八点碰头
b1-057|salvar una vida=>救人性命;salvar el partido=>挽救比赛
b1-058|sufrir un accidente=>遭遇事故;sufrir de insomnio=>受失眠困扰
b1-059|sustituir el azúcar por miel=>用蜂蜜代替糖
b1-060|tolerar el ruido=>忍受噪音;no lo tolero=>我忍不了
b1-061|utilizar la herramienta=>使用工具|g:与 usar 同义，utilizar 更正式
b1-062|avanzar despacio=>缓慢前进;el proyecto avanza=>项目有进展
b1-063|desarrollar una app=>开发应用;desarrollar habilidades=>培养技能
b1-064|formar parte del equipo=>是团队一员;formar una familia=>组建家庭
b1-065|impedir la entrada=>阻止进入;nada me impide=>没什么能拦住我
b1-066|parecerse a su padre=>长得像爸爸;se parecen mucho=>他们很像
b1-067|poseer tierras=>拥有土地;poseer cualidades=>具备素质
b1-068|presumir de inteligente=>炫耀自己聪明
b1-069|rendir cuentas=>作出交代;rendirse ante el reto=>在挑战面前放弃
b1-070|repartir el trabajo=>分配工作;repartir la herencia=>分配遗产
b1-071|sospechar de él=>怀疑他;sospechar de todo=>疑神疑鬼
b1-072|besar en la mejilla=>亲吻脸颊
b1-073|abrazar fuerte=>紧紧拥抱;darse un abrazo=>互相拥抱
b1-074|responsabilizarse de sus actos=>对自己的行为负责
b1-075|presenciar el accidente=>目击事故;presenciar la ceremonia=>出席典礼
b1-076|presuponer un coste=>预估成本|g:正式用语：pre + suponer
b1-077|pretender el puesto=>觊觎职位;¿qué pretendes?=>你想干什么？
b1-078|provocar un accidente=>引发事故;provocar risas=>引人发笑
b1-079|recorrer la ciudad=>走遍全城;recorrer kilómetros=>跑很多公里
b1-080|recurrir a la ayuda=>求助于人;recurrir a los ahorros=>动用存款
b1-081|la unión se refuerza=>联合得到加强
b1-082|relacionarse con gente=>与人交往
b1-083|sobrevivir al terremoto=>在地震中幸存;sobrevivir a alguien=>比某人活得久
b1-084|hacerse médico=>成为医生;hacerse mayor=>长大;se hizo rico=>他发了财
b1-085|llegó a ser director=>他最终当上了主管
b1-086|ponerse a estudiar=>开始学习;se puso a llover=>下起雨来
b1-087|echarse a llorar=>哭了起来;echarse a correr=>撒腿就跑
b1-088|sigo trabajando=>我继续工作;sigue lloviendo=>雨还在下|g:seguir + 副动词 = 继续做
b1-089|estoy cocinando=>我在做饭;está lloviendo=>正在下雨|g:estar + 副动词 = 进行时
b1-090|llevo dos años viviendo aquí=>我住这里两年了|g:llevar + 副动词 = 已做多久
b1-091|acabó aceptando=>他最终接受了;acabó perdiendo=>结果输掉了|g:acabar + 副动词 = 最终
b1-092|volver a empezar=>重新开始;volvió a llamar=>他又打来一次|g:volver a + 原形 = 再做
b1-093|dejar de fumar=>戒烟;no deja de hablar=>他一直说个不停|g:dejar de + 原形 = 不再做
b1-094|acceso a internet=>接入互联网;acceso gratuito=>免费进入
b1-095|avance tecnológico=>技术进步;avances médicos=>医学进展
b1-096|a base de esfuerzo=>凭借努力;con base en datos=>基于数据
b1-097|beneficio mutuo=>互利;sacar beneficio=>获取利润
b1-098|capacidad de aprender=>学习能力;capacidad para resolver=>解决问题的能力
b1-099|la causa del problema=>问题的原因;causa y efecto=>因果
b1-100|riesgo alto=>高风险;correr el riesgo=>冒险
b1-101|concepto básico=>基本概念;el concepto de libertad=>自由的概念
b1-102|tomar conciencia=>意识到;conciencia social=>社会良知
