# A2 5D 种子
a2-001|volver a casa=>回家;volver a hacer=>再做一次|g:volver a + 动词原形 = 再做某事
a2-002|recibir un correo=>收到邮件;recibir a los invitados=>接待客人
a2-003|enviar un mensaje=>发消息;enviar por correo=>邮寄
a2-004|mandar saludos=>代为问候;mandar un correo=>发封邮件|m:发送
a2-005|aceptar la invitación=>接受邀请;aceptar un trabajo=>接受一份工作
a2-006|rechazar una oferta=>拒绝报价;rechazar la idea=>否决想法
a2-007|compartir la comida=>分享食物;compartir piso=>合租
a2-008|prestar atención=>注意听;prestar dinero=>借钱给人
a2-009|devolver el libro=>还书;devolver el dinero=>还钱
a2-010|ahorrar dinero=>存钱;ahorrar tiempo=>省时间
a2-011|gastar mucho=>花很多钱;gastar en ropa=>花钱买衣服
a2-012|ganar dinero=>赚钱;ganar un premio=>获奖
a2-013|¿cuánto cobra?=>收多少钱？;cobrar por el trabajo=>收工钱
a2-014|firmar el contrato=>签合同;firmar un documento=>签署文件
a2-015|llenar el formulario=>填表;llenar el vaso=>倒满杯子
a2-016|funcionar bien=>运转良好;el plan funciona=>计划行得通
a2-017|durar dos horas=>持续两小时;durar mucho=>持续很久
a2-018|¿cuánto cuesta?=>多少钱？;cuesta cien euros=>值一百欧
a2-019|vale la pena=>值得;valer mucho=>很值钱
a2-020|¿cuánto pesa?=>有多重？;pesar la maleta=>称行李|m:重（多少）
a2-021|medir dos metros=>长两米;medir la temperatura=>量体温
a2-022|contar hasta diez=>数到十;contar un chiste=>讲笑话;contar conmigo=>算我一个
a2-023|conseguir trabajo=>找到工作;conseguir entradas=>搞到票
a2-024|lograr el objetivo=>达成目标;lograr un sueño=>实现梦想
a2-025|permitir la entrada=>允许进入;no permitir fumar=>禁止吸烟
a2-026|prohibido aparcar=>禁止停车;prohibir la entrada=>禁止入内
a2-027|evitar el problema=>避开问题;evitar el tráfico=>避开堵车
a2-028|resolver el problema=>解决问题;resolver el conflicto=>化解冲突
a2-029|mejorar el nivel=>提高水平;la salud mejora=>健康好转
a2-030|empeorar la situación=>让情况恶化;el tiempo empeora=>天气变糟
a2-031|aumentar el precio=>涨价;aumentar de peso=>体重增加
a2-032|crecer rápido=>长得快;la ciudad crece=>城市在扩张
a2-033|traducir al español=>翻译成西语;traducir un texto=>翻译文章
a2-034|repetir la pregunta=>重复问题;repetir el curso=>重修课程
a2-035|corregir el error=>改正错误;corregir el examen=>批改试卷
a2-036|elegir un regalo=>挑选礼物;elegir entre dos=>二选一
a2-037|recoger a los niños=>接孩子;recoger la maleta=>取行李|m:接（人）；取
a2-038|mantener el contacto=>保持联系;mantener la calma=>保持冷静
a2-039|apoyar la idea=>支持这个想法;apoyar a la familia=>养家
a2-040|comunicar la noticia=>通知消息;comunicarse por correo=>用邮件沟通
a2-041|informar sobre el horario=>通知时间安排;informar a los padres=>告知家长
a2-042|avisar del retraso=>告知延误;avisar por mensaje=>发消息提醒
a2-043|recomendar un restaurante=>推荐餐厅;recomendar un libro=>推荐书
a2-044|sugerir un plan=>提议计划;sugerir una idea=>提出想法
a2-045|ofrecer ayuda=>提供帮助;ofrecer un trabajo=>提供工作机会
a2-046|negar la acusación=>否认指控;nunca lo niego=>我从不否认
a2-047|dudar de algo=>怀疑某事;dudo que venga=>我怀疑他不会来
a2-048|confirmar la reserva=>确认预订;confirmar la cita=>确认预约
a2-049|cancelar el vuelo=>取消航班;cancelar la reunión=>取消会议
a2-050|alquilar un piso=>租公寓;alquilar un coche=>租车
a2-051|conducir despacio=>慢点开;conducir un coche=>开车
a2-052|aparcar aquí=>在这儿停车;aparcar el coche=>停车入库
a2-053|montar en bici=>骑自行车;montar a caballo=>骑马|m:骑
a2-054|esquiar en la montaña=>在山里滑雪;esquiar bien=>滑雪滑得好
a2-055|pescar en el río=>在河边钓鱼;ir a pescar=>去钓鱼
a2-056|acampar en el bosque=>在森林露营;acampar junto al río=>在河边扎营
a2-057|intentar otra vez=>再试一次;intentar hacerlo=>试着去做
a2-058|tratar bien a alguien=>善待某人;tratar de hacer=>设法做|m:对待；处理
a2-059|merecer la pena=>值得;merecer un premio=>配得上奖
a2-060|bastar con esto=>这就够了;me basta=>对我足够了|g:bastar con + 名词 = ……就够了
a2-061|falta azúcar=>缺糖;faltar a clase=>缺课
a2-062|no me importa=>我不在乎;importa mucho=>这很重要
a2-063|me encanta viajar=>我超爱旅行;me encanta esta canción=>我超喜欢这首歌
a2-064|me duele la cabeza=>我头疼;me duelen los pies=>我脚疼
a2-065|romper el vaso=>打碎杯子;romper una pierna=>摔断腿
a2-066|arreglar el coche=>修车;arreglar el problema=>摆平问题
a2-067|reírse mucho=>笑个不停;morirse de risa=>笑死我了
a2-068|llorar de alegría=>喜极而泣;llorar sin parar=>哭个不停
a2-069|gritar fuerte=>大喊;no grites=>别喊
a2-070|susurrar al oído=>耳语;susurrar un secreto=>低声说秘密
a2-071|observar las estrellas=>观星;observar en silencio=>安静地观察
a2-072|señalar la puerta=>指着门;señalar con el dedo=>用手指指
a2-073|saludar con la mano=>挥手打招呼;saludar a los vecinos=>跟邻居打招呼
a2-074|despedirse de alguien=>向某人道别;despedirse en la estación=>在车站告别
a2-075|agradecer la ayuda=>感谢帮助;agradecer de corazón=>衷心感谢
a2-076|discutir el precio=>讨价还价;discutir con alguien=>和某人吵架
a2-077|casarse con alguien=>和某人结婚;casarse joven=>早婚
a2-078|divorciarse de=>和……离婚;divorciarse hace dos años=>两年前离婚
a2-079|enamorarse de alguien=>爱上某人;enamorarse a primera vista=>一见钟情
a2-080|aburrirse en casa=>在家无聊;no te aburras=>你可别无聊
a2-081|divertirse mucho=>玩得很开心;nos divertimos=>我们玩得很尽兴
a2-082|preocuparse por la salud=>为健康担心;no te preocupes=>别担心
a2-083|enojarse con alguien=>生某人的气;enojarse por nada=>无缘无故生气
a2-084|enfadarse con=>生……的气;se enfada rápido=>他很容易上火
a2-085|alegrarse de la noticia=>为消息高兴;me alegro de verte=>见到你真高兴
a2-086|sentirse cansado=>感到累;sentirse bien=>感觉不错
a2-087|quedarse en casa=>待在家;quedarse con las llaves=>把钥匙留下|m:留下
a2-088|marcharse de viaje=>动身旅行;marcharse temprano=>一早离开
a2-089|regresar a casa=>回家;regresar pronto=>早点回来
a2-090|nacer en Madrid=>出生在马德里;nacer en 1990=>生于 1990 年
a2-091|morir de viejo=>寿终正寝;morir joven=>英年早逝
a2-092|aparecer de repente=>突然出现;aparecer en la tele=>上电视
a2-093|¿qué ocurrió?=>发生了什么？;ocurrir de noche=>发生在夜里
a2-094|¿qué sucedió?=>出什么事了？;sucede a menudo=>经常发生
a2-095|una empresa grande=>大公司;trabajar en una empresa=>在公司上班
a2-096|sueldo mensual=>月薪;subida de sueldo=>涨工资
a2-097|el jefe de la empresa=>公司老板;jefe simpático=>好相处的上司
a2-098|empleado nuevo=>新员工;empleados de la tienda=>店员
a2-099|un cliente habitual=>老主顾;atender al cliente=>接待客户
a2-100|tener una reunión=>开会;reunión de trabajo=>工作会议
a2-101|firmar un contrato=>签合同;contrato de trabajo=>劳动合同
a2-102|una entrevista de trabajo=>求职面试|g:面试常用搭配 hacer/tener una entrevista|m:面试
