# Starter 5D 种子：D4 词块（es=>zh，; 分隔），可选 g:/s2:/m: 覆盖
st-001|¡hola! ¿qué tal?=>你好！怎么样？;decir hola=>打招呼
st-002|decir adiós=>道别;adiós para siempre=>永别
st-003|muchas gracias=>非常感谢;gracias por todo=>感谢这一切|g:回答用 de nada（不客气）
st-004|un café, por favor=>请给我一杯咖啡;más despacio, por favor=>请说慢一点|g:固定用语，加在请求后面软化语气
st-005|sí, claro=>是的，当然;decir sí=>表示同意
st-006|no, gracias=>不用了，谢谢;decir no=>拒绝
st-007|dar los buenos días=>道早安;buenos días, señora=>早上好，女士
st-008|dar las buenas tardes=>道午后安;buenas tardes a todos=>大家下午好
st-009|dar las buenas noches=>道晚安;buenas noches, que duermas bien=>晚安，睡个好觉|g:晚间见面或睡前道别用
st-010|¿qué tal estás?=>你最近怎么样？;¿qué tal el trabajo?=>工作怎么样？
st-011|mucho gusto en conocerte=>认识你很高兴;¡mucho gusto!=>幸会！|g:初次见面用语，回应可用 igualmente（我也是）
st-012|hasta mañana=>明天见;hasta pronto=>回头见
st-013|lo siento mucho=>非常抱歉;lo siento, llego tarde=>抱歉，我迟到了|g:道歉用语，比 perdón 更真诚
st-014|¡de nada!=>不客气！;de nada, es un placer=>不客气，我的荣幸|g:固定用语，用来回答 gracias
st-015|me llamo Ana=>我叫安娜;¿y tú cómo te llamas?=>那你叫什么名字？
st-016|ser de China=>来自中国;ser estudiante=>是学生;ser las dos=>现在是两点
st-017|estar en casa=>在家;estar cansado=>累了;estar de buen humor=>心情好
st-019|hacer deporte=>做运动;hacer la compra=>采购;hacer una pregunta=>提问
st-020|ir a casa=>回家;ir de viaje=>去旅行;ir en autobús=>坐公交去
st-021|venir de China=>来自中国;venir a la fiesta=>来参加聚会;venir conmigo=>跟我来
st-022|querer hacer algo=>想做某事;te quiero=>我爱你;querer mucho a alguien=>很爱某人
st-023|¿puedo entrar?=>我可以进来吗？;poder hacer algo=>能做某事;¿puedes ayudarme?=>你能帮我吗？
st-024|necesitar ayuda=>需要帮助;necesitar hacer algo=>需要做某事
st-025|vivir en Madrid=>住在马德里;vivir solo=>独居;vivir con la familia=>和家人一起住
st-026|trabajar en una empresa=>在公司工作;trabajar de camarero=>做服务生
st-027|estudiar español=>学西班牙语;estudiar en la universidad=>在大学读书
st-029|comer bien=>吃得好;comer fuera=>在外面吃;comer fruta=>吃水果
st-030|beber agua=>喝水;beber café=>喝咖啡
st-031|me gusta mucho=>我非常喜欢;me gustan los libros=>我喜欢这些书;¿te gusta?=>你喜欢吗？|m:喜欢
st-032|saber hablar español=>会说西语;no sé=>我不知道;saber la verdad=>知道真相
st-033|conocer a alguien=>认识某人;conocer bien la ciudad=>很熟悉这座城市
st-034|dar un regalo=>送礼物;dar las gracias=>道谢;dar un paseo=>散步
st-035|ver la tele=>看电视;ver una película=>看电影;a ver=>让我看看
st-036|escuchar música=>听音乐;escuchar la radio=>听广播
st-037|comprar comida=>买食物;ir de compras=>去购物;comprar online=>网购
st-038|vender productos=>卖产品;vender a buen precio=>卖个好价
st-039|pagar en efectivo=>付现金;pagar con tarjeta=>刷卡付款;pagar la cuenta=>买单
st-041|dormir bien=>睡得好;dormir ocho horas=>睡八小时;dormir la siesta=>午睡
st-042|levantarse temprano=>早起;levantarse de la cama=>起床下地
