b2-001|abordar un problema=>着手处理问题;abordar el tema=>切入话题
b2-002|comprometerse a + inf.=>承诺做某事;comprometerse a pagar=>承诺付款
b2-003|apostar por=>押注于，看好;apostar por el futuro=>押注于未来
b2-004|aspirar a=>渴望达到，立志成为;aspirar a un puesto=>渴望得到职位
b2-005|atribuir algo a algo=>把…归因于…;atribuirse el mérito=>把功劳归于自己
b2-006|condenar a alguien=>谴责某人;ser condenado a prisión=>被判入狱
b2-007|contemplar la posibilidad=>考虑可能性;contemplar el paisaje=>注视风景
b2-008|enriquecerse con=>从…中获益丰富;enriquecer el vocabulario=>丰富词汇
b2-009|implicarse en=>投身于，参与;implicarse en el proyecto=>投入项目
b2-010|instar a alguien a + inf.=>敦促某人做某事
b2-011|intuir la verdad=>凭直觉感知真相
b2-012|mitigar el dolor=>缓解疼痛;mitigar los efectos=>减轻影响
b2-013|paliar el hambre=>缓解饥饿;paliar la crisis=>缓解危机
b2-014|paralizar el país=>使国家瘫痪;paralizar el tráfico=>使交通瘫痪
b2-015|proclamar la independencia=>宣布独立
b2-016|propiciar el diálogo=>促成对话
b2-017|reivindicar los derechos=>主张权利
b2-018|restringir el acceso=>限制进入;restringir la libertad=>限制自由
b2-019|subestimar el riesgo=>低估风险;subestimar a alguien=>低估某人
b2-020|subrayar la importancia=>强调重要性
b2-021|velar por=>守护，维护;velar por los intereses=>维护利益
b2-022|amenazar con + inf.=>威胁要做某事;amenazar la paz=>威胁和平
b2-023|aplazar la decisión=>推迟决定;aplazar la reunión=>推迟会议
b2-024|arriesgarse a + inf.=>冒险做某事
b2-025|atenuar el dolor=>减轻疼痛;atenuar las tensiones=>缓和紧张局势
b2-026|combatir contra=>与…作斗争;combatir la corrupción=>打击腐败
b2-027|conciliar el sueño=>入睡，睡着;conciliar posturas=>调和立场
b2-028|condicionar a=>制约，取决于;estar condicionado por=>受…制约
b2-029|cultivar la tierra=>耕种土地;cultivar una amistad=>培养友谊
b2-030|debilitar la economía=>削弱经济;debilitar la posición=>削弱地位
b2-031|destinar a=>拨给，用于;destinar fondos a=>把资金用于
b2-032|dotar de=>赋予，配备;dotar de recursos=>配备资源
b2-033|eludir la responsabilidad=>逃避责任;eludir la pregunta=>回避问题
b2-034|empatizar con=>与…共情;empatizar con alguien=>体谅某人
b2-035|encabezar la lista=>居榜首;encabezar la protesta=>领导抗议
b2-036|erradicar la pobreza=>根除贫困;erradicar la corrupción=>根除腐败
b2-037|exponer sus ideas=>阐述观点;exponerse a=>暴露于，面临
b2-038|frustrar los planes=>使计划受挫;sentirse frustrado=>感到沮丧
b2-039|implantar un sistema=>推行制度;implantar reformas=>推行改革
b2-040|invadir un país=>入侵一个国家;invadir el mercado=>涌入市场
b2-041|malgastar el dinero=>浪费钱;malgastar el tiempo=>浪费时间
b2-042|mermar la confianza=>削弱信任;mermar los recursos=>削减资源
b2-043|movilizar a la población=>动员民众;movilizar tropas=>调集军队
b2-044|oscilar entre=>在…之间波动;oscilar entre 5 y 10=>在5到10之间波动
b2-045|patrocinar un evento=>赞助活动
b2-046|posibilitar el desarrollo=>使发展成为可能
b2-047|profesar una religión=>信奉宗教;profesar admiración=>怀有敬佩
b2-048|recaer en=>落到…身上;recaer en alguien=>由某人承担
b2-049|remontarse a=>追溯到;remontarse al siglo X=>追溯到十世纪
b2-050|saciar la sed=>解渴;saciar el hambre=>充饥
b2-051|sembrar dudas=>播下疑虑;sembrar el campo=>在田里播种
b2-052|solventar un problema=>解决问题;solventar los gastos=>解决开支
b2-053|testificar ante el tribunal=>在法庭上作证
b2-054|unificar criterios=>统一标准;unificar el mercado=>统一市场
b2-055|validar los datos=>验证数据;validar una hipótesis=>验证假设
b2-056|venerar a los antepasados=>崇敬祖先
b2-057|aferrarse a=>固执于，抓住不放;aferrarse a una idea=>固守一个想法
b2-058|albergar esperanzas=>抱有希望;albergar dudas=>心怀疑虑
b2-059|alegar que=>辩称，理由是;alegar motivos de salud=>以健康为由
b2-060|apelar a=>诉诸，求助于;apelar a la razón=>诉诸理性
b2-061|anticiparse a=>抢在…前面，预见;anticiparse a los acontecimientos=>先发制人
b2-062|armonizar con=>与…协调;armonizar los intereses=>协调利益
b2-063|asentir con la cabeza=>点头同意
b2-064|atañer a=>与…相关;eso no me atañe=>那与我无关
b2-065|atestiguar un hecho=>见证一个事实
b2-066|cesar en el cargo=>离职;cesar el fuego=>停火
b2-067|coartar la libertad=>束缚自由;coartar la iniciativa=>束缚主动性
b2-068|colmar las expectativas=>满足期望;colmar de regalos=>送满礼物
b2-069|devaluar la moneda=>使货币贬值
b2-070|dilatar el plazo=>延长期限;las pupilas se dilatan=>瞳孔放大
b2-071|discernir entre=>辨别，区分;discernir lo verdadero de lo falso=>辨别真伪
b2-072|disentir de=>与…意见不同;disentir de la mayoría=>不认同多数意见
b2-073|divulgar información=>传播信息;divulgar una noticia=>发布消息
b2-074|empeñarse en=>执意要，坚持;empeñarse en hacerlo=>执意要做
b2-075|encarnar un papel=>扮演角色;encarnar un valor=>体现一种价值
b2-076|englobar varios aspectos=>涵盖多个方面
b2-077|ensanchar la carretera=>拓宽道路;ensanchar horizontes=>开阔视野
b2-078|entorpecer el trabajo=>妨碍工作;entorpecer la investigación=>阻碍调查
b2-079|enunciar un principio=>阐述原则
b2-080|equiparar a=>把…等同于;equiparar los sueldos=>拉平工资
b2-081|no escatimar esfuerzos=>不遗余力;no escatimar elogios=>不吝赞美
b2-082|esgrimir un argumento=>援引论据;esgrimir un arma=>挥舞武器
b2-083|estipular que=>规定…;estipular las condiciones=>规定条件
b2-084|evidenciar la necesidad=>表明必要性
b2-085|exteriorizar las emociones=>表露情感
b2-086|fraguar un plan=>酝酿计划;fraguar una amistad=>结下友谊
b2-087|granjearse la confianza=>赢得信任;granjearse el respeto=>赢得尊重
b2-088|habilitar para=>使有资格;habilitar un espacio=>启用一个空间
b2-089|honrar la memoria de=>纪念…;honrar a los héroes=>向英雄致敬
b2-090|ilusionarse con=>对…满怀期待;la idea me ilusiona=>这个想法让我期待
b2-091|inhibir el desarrollo=>抑制发展;inhibirse de=>回避，不敢
b2-092|inquietar a los vecinos=>使邻居不安;inquietarse por=>为…担忧
b2-093|jactarse de=>自夸，吹嘘;jactarse de sus logros=>夸耀自己的成就
b2-094|obstaculizar el proceso=>阻挠进程;obstaculizar la negociación=>阻碍谈判
b2-095|palpar el peligro=>切身感受到危险;palpar la textura=>触摸质感
b2-096|perecer en el accidente=>在事故中丧生
b2-097|perpetuar la desigualdad=>使不平等延续;perpetuar la memoria=>使记忆永存
b2-098|los rumores proliferan=>谣言四起
b2-099|reafirmarse en=>坚持，强化;reafirmarse en su postura=>坚定立场
b2-100|recapacitar sobre=>重新考虑;recapacitar sobre su decisión=>重新考虑决定
b2-101|reconciliarse con=>与…和好;reconciliarse con su pasado=>与过去和解
b2-102|rehuir el conflicto=>躲避冲突;rehuir la responsabilidad=>逃避责任
b2-103|reinar la calma=>一片平静;reinar el caos=>一片混乱
b2-104|remitir un documento=>寄送文件;remitirse a=>参照，援引
b2-105|repudiar la violencia=>唾弃暴力;repudiar un acuerdo=>拒绝协议
b2-106|resignarse a=>认命接受，甘愿;resignarse a perder=>认输
b2-107|restar importancia=>贬低重要性;restar 5 de 10=>从10里减去5
b2-108|restituir los bienes=>归还财物;restituir en el cargo=>恢复职务
b2-109|sucumbir a=>屈服于，死于;sucumbir a la tentación=>屈服于诱惑
b2-110|trascender a=>超越;la noticia trascendió=>消息传出去了
b2-111|usurpar el trono=>篡夺王位;usurpar el poder=>篡权
b2-112|dignarse a + inf.=>屈尊做某事
b2-113|dilapidar la fortuna=>挥霍家产;dilapidar el dinero=>挥霍金钱
b2-114|distraerse con=>因…分心;distraerse del trabajo=>工作时分心
b2-115|adueñarse de=>占据，夺取;adueñarse del mercado=>占领市场
b2-116|adecuar a=>使适应;adecuarse a las normas=>适应规范
b2-117|agudizar la crisis=>加剧危机;agudizar el conflicto=>使冲突激化
b2-118|indignarse por=>对…感到愤慨;la decisión indignó a todos=>决定令所有人愤慨
b2-119|desmentir el rumor=>辟谣;desmentir a alguien=>反驳某人
b2-120|desvelar un secreto=>揭开秘密;desvelar los detalles=>披露细节
b2-121|el sufragio universal=>普选权;el derecho al sufragio=>选举权
b2-122|votar a favor=>投赞成票;votar en blanco=>投空白票
b2-123|acudir a las urnas=>前去投票;el resultado de las urnas=>投票结果
b2-124|lanzar la campaña electoral=>发起竞选活动
b2-125|presentarse como candidato=>报名参选
b2-126|afiliarse a un partido político=>加入政党;fundar un partido=>创立政党
b2-127|la ideología política=>政治意识形态;imponer una ideología=>强加意识形态
b2-128|convencer al electorado=>说服选民
b2-129|estar en el censo electoral=>登记在选民册上
b2-130|según las encuestas electorales=>根据选前民调
b2-131|obtener la mayoría absoluta=>获得绝对多数
b2-132|ganar por mayoría simple=>以相对多数获胜
b2-133|formar una coalición=>组建联盟;un gobierno de coalición=>联合政府
b2-134|firmar un pacto=>签订协议;romper el pacto=>撕毁协议
b2-135|la sesión de investidura=>组阁投票会议;ganar la investidura=>赢得组阁投票
b2-136|formar un gobierno de coalición=>组建联合政府
b2-137|la oposición política=>政治反对派;líder de la oposición=>反对派领袖
b2-138|el parlamento europeo=>欧洲议会;disolver el parlamento=>解散议会
b2-139|elegir a los diputados=>选举众议员
b2-140|aprobar en el Senado=>在参议院通过
b2-141|un escaño de diputado=>一个众议员席位;los diputados votan la ley=>议员们表决法案
b2-142|ser elegido senador=>当选参议员
b2-143|proponer una enmienda=>提出修正案;aprobar una enmienda=>通过修正案
b2-144|aprobar el proyecto de ley=>通过法案;rechazar un proyecto de ley=>否决法案
b2-145|promulgar una ley=>颁布法律
b2-146|la Constitución española=>西班牙宪法;reformar la constitución=>修改宪法
b2-147|catedrático de derecho constitucional=>宪法学教授
b2-148|defender el Estado de derecho=>捍卫法治
b2-149|la separación de poderes=>三权分立
b2-150|ejercer el poder legislativo=>行使立法权
﻿b2-151|ejercer el poder judicial=>行使司法权
b2-152|la separación de poderes=>三权分立
b2-153|firmar un decreto=>签署法令;publicar un decreto=>颁布法令
b2-154|aprobar un decreto ley=>通过紧急法令
b2-155|la cámara baja=>下议院;la segunda cámara=>第二议院
b2-156|presentar una moción de censura=>提出不信任动议
b2-157|pedir la disolución del parlamento=>要求解散议会
b2-158|convocar elecciones=>召集选举，宣布选举
b2-159|celebrar elecciones anticipadas=>举行提前大选
b2-160|el escrutinio de los votos=>计票
b2-161|meter la papeleta en la urna=>把选票投入票箱
b2-162|ir al colegio electoral=>去投票站投票
b2-163|la jornada de reflexión=>选前静默日
b2-164|la tasa de abstención=>弃权率
b2-165|emitir un voto en blanco=>投空白票
b2-166|anular el voto nulo=>作废废票
b2-167|reformar la ley electoral=>修改选举法
b2-168|el Ministerio de Asuntos Exteriores=>外交部;ser nombrado ministro=>被任命为部长
b2-169|el portavoz del gobierno=>政府发言人
b2-170|publicar un comunicado=>发布公报;según el comunicado oficial=>据官方通报
b2-171|celebrar una rueda de prensa=>举行新闻发布会
b2-172|comparecer ante el juez=>出庭受审;comparecer en el congreso=>到国会接受质询
b2-173|presentar la dimisión=>递交辞呈;aceptar la dimisión=>接受辞职
b2-174|dimitir de su cargo=>辞去职务;dimitir por el escándalo=>因丑闻辞职
b2-175|destapar un escándalo=>揭出丑闻;un escándalo de corrupción=>腐败丑闻
b2-176|luchar contra la corrupción=>反腐;acusado de corrupción=>被控腐败
b2-177|un político corrupto=>一个腐败的政客;un corrupto=>一个腐败分子
b2-178|aceptar un soborno=>收受贿赂
b2-179|sobornar a un funcionario=>贿赂公务员
b2-180|ser víctima de un chantaje=>遭人敲诈
b2-181|acusado de tráfico de influencias=>被控以权谋私
