# B1 种子 3：领域名词（工作/经济/学习/媒体/健康/法律/政治/社会/自然/城市/交通/情感/思维）
el negocio|生意；商店|n|工作|Su negocio crece muy rápido.|他的生意发展很快。|hacer negocios
el puesto|职位|n|工作|Hay un puesto libre en mi empresa.|我公司有个空缺职位。|puesto de trabajo
el candidato|候选人|n|工作|El candidato pasa la primera entrevista.|候选人通过第一轮面试。
el empresario|企业家|n|工作|El empresario invierte en tecnología.|这位企业家投资科技。
la plantilla|员工队伍|n|工作|La plantilla de la empresa es joven.|公司的员工队伍很年轻。
la jubilación|退休|n|工作|Mi padre ya está cerca de la jubilación.|我父亲快退休了。
el despido|解雇|n|工作|El despido llegó sin aviso.|解雇来得毫无预兆。
el ascenso|晋升|n|工作|Le ofrecen un ascenso importante.|他们给他重要的晋升机会。
la vacante|空缺|n|工作|Queda una vacante en el equipo.|团队还有一个空缺。
el mercado|市场|n|经济|El mercado inmobiliario está caliente.|房地产市场火热。|mercado libre
el servicio|服务|n|经济|El servicio del hotel es excelente.|酒店的服务一流。|servicio al cliente
el pedido|订单|n|经济|El pedido llega el viernes.|订单周五到。|hacer un pedido
el presupuesto|预算|n|经济|El presupuesto no alcanza.|预算不够。
la inversión|投资|n|经济|La inversión extranjera aumenta.|外国投资增加。
el impuesto|税|n|经济|El impuesto sobre la renta sube.|个人所得税上涨。
la deuda|债务|n|经济|El país reduce su deuda pública.|国家减少公共债务。|deuda pública
la ganancia|利润|n|经济|Las ganancias suben este trimestre.|本季度利润上升。
la pérdida|损失|n|经济|La pérdida fue enorme.|损失巨大。
el préstamo|贷款|n|经济|Pido un préstamo al banco.|我向银行申请贷款。|pedir un préstamo
la inflación|通货膨胀|n|经济|La inflación sube al cinco por ciento.|通胀升至百分之五。
el crecimiento|增长|n|经济|El crecimiento económico se frena.|经济增长放缓。
el comercio|贸易；商业|n|经济|El comercio entre los dos países crece.|两国间贸易增长。|comercio electrónico
el consumidor|消费者|n|经济|El consumidor tiene más opciones.|消费者有更多选择。
la competencia|竞争|n|经济|La competencia en el sector es feroz.|该行业竞争激烈。
el ahorro|储蓄|n|经济|El ahorro es un buen hábito.|储蓄是好习惯。
la pobreza|贫困|n|社会|La pobreza afecta a millones.|贫困影响数百万人。
la riqueza|财富|n|社会|La riqueza del país está mal repartida.|国家财富分配不均。
la educación|教育|n|学习|La educación es un derecho.|教育是一项权利。
la asignatura|科目|n|学习|Mi asignatura favorita es la historia.|我最喜欢的科目是历史。
la nota|分数；笔记|n|学习|Saqué buena nota en el examen.|我考试得了好分数。
la beca|奖学金|n|学习|Consigue una beca para estudiar fuera.|她拿到出国留学的奖学金。
el título|标题；学位|n|学习|El título del libro es largo.|书的标题很长。
el máster|硕士|n|学习|Hace un máster en Barcelona.|他在巴塞罗那读硕士。
el doctorado|博士阶段|n|学习|Termina el doctorado en dos años.|他两年内完成博士学业。
la investigación|研究|n|学习|La investigación confirma la hipótesis.|研究证实了假设。
el laboratorio|实验室|n|学习|El laboratorio está en el sótano.|实验室在地下室。
la hipótesis|假设|n|学习|La hipótesis resulta falsa.|假设结果是错误的。|||las hipótesis
el dato|数据|n|学习|Los datos confirman la tendencia.|数据证实了趋势。|||los datos
el análisis|分析|n|学习|El análisis dura tres semanas.|分析持续三周。|||los análisis
la encuesta|调查|n|社会|La encuesta se hizo por teléfono.|调查通过电话进行。|según las encuestas
el capítulo|章节|n|学习|El capítulo tres es el mejor.|第三章最精彩。
el resumen|摘要；总结|n|学习|Escribe un resumen del texto.|写一篇文章摘要。|en resumen
el campus|校园|n|学习|El campus es enorme.|校园很大。
el alumno|学生|n|学习|El alumno responde con confianza.|学生自信地回答。
la matrícula|注册；注册费|n|学习|La matrícula cuesta mil euros.|注册费一千欧元。
el idioma|语言|n|学习|El idioma español es muy rico.|西班牙语非常丰富。
la frase|句子|n|学习|La frase es muy larga.|这个句子太长。
la expresión|表达|n|学习|La expresión significa lo contrario.|这个表达的意思相反。
el significado|意思|n|学习|El significado cambia según el tono.|意思随语气改变。
la traducción|翻译|n|学习|La traducción pierde el humor.|翻译丢失了幽默。
la ortografía|拼写|n|学习|Su ortografía es perfecta.|她的拼写完美。
la gramática|语法|n|学习|La gramática es solo una parte.|语法只是一部分。
el acento|口音；重音|n|学习|Hablo con acento mexicano.|我说话带墨西哥口音。
la pronunciación|发音|n|学习|Trabajo mi pronunciación a diario.|我每天练发音。
el vocabulario|词汇|n|学习|Mi vocabulario crece cada día.|我的词汇量每天增长。
el reportaje|报道|n|媒体|El reportaje dura veinte minutos.|报道时长二十分钟。
el periodista|记者|n|媒体|El periodista entrevista al alcalde.|记者采访市长。
la emisora|电台|n|媒体|La emisora emite las veinticuatro horas.|电台全天候播放。
el documental|纪录片|n|媒体|El documental ganó un premio.|这部纪录片获奖了。
el espectador|观众|n|媒体|El espectador aplaude al final.|观众最后鼓掌。
la audiencia|收视率；受众|n|媒体|La audiencia del programa sube.|节目收视率上升。
el canal|频道；渠道|n|媒体|El canal Cuatro emite la serie.|四频道播出这部连续剧。
el enlace|链接|n|科技|Mándame el enlace por correo.|把链接发我邮箱。
la publicidad|广告；宣传|n|媒体|La publicidad influye en los niños.|广告影响儿童。
la enfermedad|疾病|n|健康|La enfermedad se cura con antibióticos.|这种病用抗生素能治好。
el síntoma|症状|n|健康|El síntoma principal es la fiebre.|主要症状是发烧。|||los síntomas
el dolor|疼痛|n|健康|Siento un dolor en el pecho.|我胸口疼。
la fiebre|发烧|n|健康|La fiebre baja con la medicina.|吃药后退烧。
la gripe|流感|n|健康|La gripe me tiene en cama.|流感让我卧床。
el resfriado|感冒|n|健康|El resfriado dura una semana.|感冒持续一周。|estar resfriado
la herida|伤口|n|健康|La herida se cierra poco a poco.|伤口慢慢愈合。
el tratamiento|治疗|n|健康|El tratamiento dura seis meses.|治疗持续六个月。
la receta|处方；食谱|n|健康|El médico me hace la receta.|医生给我开处方。
la pastilla|药片|n|健康|Tomo una pastilla cada ocho horas.|我每八小时吃一片药。
el paciente|病人|n|健康|El paciente necesita descansar.|病人需要休息。
