# B2-20 职业/身体部位
el carpintero|木匠|n|职业|El carpintero arregló la silla coja.|木匠修好了瘸腿的椅子。||复数 los carpinteros
el herrero|铁匠|n|职业|El herrero forjó la herradura a mano.|铁匠手工打了一副马掌。||复数 los herreros
el sastre|裁缝（男）|n|职业|El sastre le tomó medidas para el traje.|裁缝为他量体做西装。||复数 los sastres
la modista|裁缝（女）；时装师|n|职业|La modista adaptó el vestido de novia.|女裁缝改了婚纱。||复数 las modistas
el zapatero|鞋匠|n|职业|El zapatero cambió el tacón del botín.|鞋匠换了短靴的鞋跟。||复数 los zapateros
el panadero|面包师|n|职业|El panadero amasa a las cuatro de la madrugada.|面包师凌晨四点就开始揉面。||复数 los panaderos
el carnicero|肉贩|n|职业|El carnicero fileteó la carne a máquina.|肉贩用机器把肉切了片。||复数 los carniceros
el frutero|水果摊主|n|职业|El frutero del mercado pesó medio kilo.|市场的水果摊主称了半公斤。||复数 los fruteros
el repostero|糕点师|n|职业|El repostero decoró la tarta con manga pastelera.|糕点师用裱花袋装点了蛋糕。||复数 los reposteros
el vendedor ambulante|流动小贩|n|职业|El vendedor ambulante pregonaba churros.|小贩沿街叫卖油条。||复数 los vendedores ambulantes
pregonar|叫卖；宣扬|v|职业|Pregonaba su mercancía a gritos.|他高声吆喝自己的货。
el mecánico|机械师|n|职业|El mecánico revisó los frenos del coche.|机械师检查了刹车。||复数 los mecánicos
el pintor|画家；油漆工|n|职业|El pintor dio dos manos de pintura al techo.|油漆工给天花板刷了两遍漆。||复数 los pintores
el maquinista|火车司机|n|职业|El maquinista redujo la velocidad al entrar a la estación.|进站时司机减速了。||复数 los maquinistas
el auxiliar de vuelo|空乘|n|职业|El auxiliar de vuelo explicó las salidas de emergencia.|空乘讲解了应急出口。||复数 los auxiliares de vuelo
el topógrafo|测量员|n|职业|El topógrafo replanteó los límites de la finca.|测量员重新放线定了地块边界。||复数 los topógrafos
el minero|矿工|n|职业|Los mineros bajaron a la veta a las seis.|矿工们六点下矿井。||复数 los mineros
el leñador|伐木工|n|职业|El leñador apiló la leña junto al camino.|伐木工把柴码在路边。||复数 los leñadores
el pastor|牧羊人|n|职业|El pastor guiaba al rebaño con el cayado.|牧羊人用牧杖赶着羊群。||复数 los pastores
el rebaño|兽群；羊群|n|职业|El rebaño cruzó el paso canadiense.|羊群穿过了涵洞桥。
el granjero|农场主|n|职业|El granjero ordeña las vacas dos veces al día.|农场主一天挤两次奶。||复数 los granjeros
el jardinero|园丁|n|职业|El jardinero podó los setos del patio.|园丁修剪了院里的树篱。||复数 los jardineros
el forestal|林业员|n|职业|El forestal vigila los incendios desde la torre.|林业员在瞭望塔上防火。||复数 los forestales
el oculista|眼科医生|n|职业|El oculista me graduó la vista.|眼科医生给我验了光。||复数 los oculistas
el pediatra|儿科医生|n|职业|La pediatra pesó y midió al bebé.|儿科医生给宝宝量了身高体重。||复数 los pediatras
el traumatólogo|骨科医生|n|职业|El traumatólogo escayoló el tobillo.|骨科医生给脚踝打了石膏。||复数 los traumatólogos
el celador|护工；门卫|n|职业|El celador acompañó al paciente a radiología.|护工送病人去了放射科。||复数 los celadores
el guardia civil|宪警|n|职业|El guardia civil regulaba el tráfico en la curva.|宪警在弯道指挥交通。||复数 los guardias civiles
el soldado|士兵|n|职业|El soldado hizo guardia toda la noche.|士兵站了一整夜岗。||复数 los soldados
el mensajero|信使；快递员|n|职业|El mensajero entregó el paquete antes de doce.|快递员十二点前送到了包裹。||复数 los mensajeros
el guía turístico|导游|n|职业|El guía turístico explicó la historia de la catedral.|导游讲解了教堂的历史。||复数 los guías turísticos
el bedel|门房（学校/机构）|n|职业|El bedel abrió el aula a primera hora.|门房一早开了教室。||复数 los bedeles
el bibliotecario|图书管理员|n|职业|El bibliotecario catalogó las novedades.|图书管理员给新书编了目。||复数 los bibliotecarios
el directivo|高管|n|职业|Los directivos aprobaron el plan estratégico.|高管层批准了战略计划。||复数 los directivos
el ejecutivo|白领；行政人员|n|职业|Vive en hoteles como ejecutivo en viaje.|出差的白领住酒店如家常便饭。||复数 los ejecutivos
el asistente|助理|n|职业|Su asistente le organiza hasta la agenda social.|连社交日程都由助理安排。||复数 los asistentes
el administrativo|行政文员|n|职业|El administrativo selló la solicitud.|文员在申请上盖了章。||复数 los administrativos
el consultor|顾问|n|职业|Trabaja como consultor de calidad.|他做质量顾问。||复数 los consultores
el agente inmobiliario|房产中介|n|职业|El agente inmobiliario enseñó tres pisos.|中介带看了三套房。||复数 los agentes inmobiliarios
el relojero|钟表匠|n|职业|El relojero cambió la pila del reloj de pulsera.|钟表匠换了手表电池。||复数 los relojeros
el joyero|珠宝匠；珠宝商|n|职业|El joyero engastó el diamante en el anillo.|珠宝匠把钻石镶进戒指。||复数 los joyeros
el óptico|眼镜商|n|职业|El óptico ajustó las patillas de las gafas.|眼镜师调了镜腿。||复数 los ópticos
el intérprete|口译员|n|职业|El intérprete tradujo susurrando al delegado.|口译员同声为代表低声传译。||复数 los intérpretes
la azafata|空姐（旧称）|n|职业|La azafata repartió mantas a los pasajeros.|空姐给乘客分毯子。||复数 las azafatas
la comadrona|助产士|n|职业|La comadrona asistió el parto en casa.|助产士上门接生。||复数 las comadronas
